time(s)	cellId	rnti	lcid	packetSize
0.422003	1	1	3	1530
0.422004	1	2	3	1530
0.422005	3	1	3	1530
0.422006	3	2	3	1530
0.422008	3	3	3	1530
0.422009	3	4	3	1530
0.42201	3	5	3	1530
0.422011	3	6	3	1530
0.422013	3	7	3	1530
0.422014	3	8	3	1530
0.422015	3	9	3	1530
0.422016	3	10	3	1530
0.422018	1	3	3	1530
0.422019	3	11	3	1530
0.42202	1	4	3	1530
0.422021	1	5	3	1530
0.422023	1	6	3	1530
0.422024	3	12	3	1530
0.422025	1	7	3	1530
0.422026	3	18	3	1530
0.422028	3	19	3	1530
0.422029	3	20	3	1530
0.42203	3	21	3	1530
0.422032	3	22	3	1530
0.423003	1	1	3	1530
0.423004	1	2	3	1530
0.423005	3	1	3	1530
0.423006	3	2	3	1530
0.423008	3	3	3	1530
0.423009	3	4	3	1530
0.42301	3	5	3	1530
0.423011	3	6	3	1530
0.423013	3	7	3	1530
0.423014	3	8	3	1530
0.423015	3	9	3	1530
0.423016	3	10	3	1530
0.423018	1	3	3	1530
0.423019	3	11	3	1530
0.42302	1	4	3	1530
0.423021	1	5	3	1530
0.423023	1	6	3	1530
0.423024	3	12	3	1530
0.423025	1	7	3	1530
0.423026	3	18	3	1530
0.423028	3	19	3	1530
0.423029	3	20	3	1530
0.42303	3	21	3	1530
0.423032	3	22	3	1530
0.424003	1	1	3	1530
0.424004	1	2	3	1530
0.424005	3	1	3	1530
0.424006	3	2	3	1530
0.424008	3	3	3	1530
0.424009	3	4	3	1530
0.42401	3	5	3	1530
0.424011	3	6	3	1530
0.424013	3	7	3	1530
0.424014	3	8	3	1530
0.424015	3	9	3	1530
0.424016	3	10	3	1530
0.424018	1	3	3	1530
0.424019	3	11	3	1530
0.42402	1	4	3	1530
0.424021	1	5	3	1530
0.424023	1	6	3	1530
0.424024	3	12	3	1530
0.424025	1	7	3	1530
0.424026	3	18	3	1530
0.424028	3	19	3	1530
0.424029	3	20	3	1530
0.42403	3	21	3	1530
0.424032	3	22	3	1530
0.425003	1	1	3	1530
0.425004	1	2	3	1530
0.425005	3	1	3	1530
0.425006	3	2	3	1530
0.425008	3	3	3	1530
0.425009	3	4	3	1530
0.42501	3	5	3	1530
0.425011	3	6	3	1530
0.425013	3	7	3	1530
0.425014	3	8	3	1530
0.425015	3	9	3	1530
0.425016	3	10	3	1530
0.425018	1	3	3	1530
0.425019	3	11	3	1530
0.42502	1	4	3	1530
0.425021	1	5	3	1530
0.425023	1	6	3	1530
0.425024	3	12	3	1530
0.425025	1	7	3	1530
0.425026	3	18	3	1530
0.425028	3	19	3	1530
0.425029	3	20	3	1530
0.42503	3	21	3	1530
0.425032	3	22	3	1530
0.426003	1	1	3	1530
0.426004	1	2	3	1530
0.426005	3	1	3	1530
0.426006	3	2	3	1530
0.426008	3	3	3	1530
0.426009	3	4	3	1530
0.42601	3	5	3	1530
0.426011	3	6	3	1530
0.426013	3	7	3	1530
0.426014	3	8	3	1530
0.426015	3	9	3	1530
0.426016	3	10	3	1530
0.426018	1	3	3	1530
0.426019	3	11	3	1530
0.42602	1	4	3	1530
0.426021	1	5	3	1530
0.426023	1	6	3	1530
0.426024	3	12	3	1530
0.426025	1	7	3	1530
0.426026	3	18	3	1530
0.426028	3	19	3	1530
0.426029	3	20	3	1530
0.42603	3	21	3	1530
0.426032	3	22	3	1530
0.427003	1	1	3	1530
0.427004	1	2	3	1530
0.427005	3	1	3	1530
0.427006	3	2	3	1530
0.427008	3	3	3	1530
0.427009	3	4	3	1530
0.42701	3	5	3	1530
0.427011	3	6	3	1530
0.427013	3	7	3	1530
0.427014	3	8	3	1530
0.427015	3	9	3	1530
0.427016	3	10	3	1530
0.427018	1	3	3	1530
0.427019	3	11	3	1530
0.42702	1	4	3	1530
0.427021	1	5	3	1530
0.427023	1	6	3	1530
0.427024	3	12	3	1530
0.427025	1	7	3	1530
0.427026	3	18	3	1530
0.427028	3	19	3	1530
0.427029	3	20	3	1530
0.42703	3	21	3	1530
0.427032	3	22	3	1530
0.428003	1	1	3	1530
0.428004	1	2	3	1530
0.428005	3	1	3	1530
0.428006	3	2	3	1530
0.428008	3	3	3	1530
0.428009	3	4	3	1530
0.42801	3	5	3	1530
0.428011	3	6	3	1530
0.428013	3	7	3	1530
0.428014	3	8	3	1530
0.428015	3	9	3	1530
0.428016	3	10	3	1530
0.428018	1	3	3	1530
0.428019	3	11	3	1530
0.42802	1	4	3	1530
0.428021	1	5	3	1530
0.428023	1	6	3	1530
0.428024	3	12	3	1530
0.428025	1	7	3	1530
0.428026	3	18	3	1530
0.428028	3	19	3	1530
0.428029	3	20	3	1530
0.42803	3	21	3	1530
0.428032	3	22	3	1530
0.429003	1	1	3	1530
0.429004	1	2	3	1530
0.429005	3	1	3	1530
0.429006	3	2	3	1530
0.429008	3	3	3	1530
0.429009	3	4	3	1530
0.42901	3	5	3	1530
0.429011	3	6	3	1530
0.429013	3	7	3	1530
0.429014	3	8	3	1530
0.429015	3	9	3	1530
0.429016	3	10	3	1530
0.429018	1	3	3	1530
0.429019	3	11	3	1530
0.42902	1	4	3	1530
0.429021	1	5	3	1530
0.429023	1	6	3	1530
0.429024	3	12	3	1530
0.429025	1	7	3	1530
0.429026	3	18	3	1530
0.429028	3	19	3	1530
0.429029	3	20	3	1530
0.42903	3	21	3	1530
0.429032	3	22	3	1530
0.430003	1	1	3	1530
0.430004	1	2	3	1530
0.430005	3	1	3	1530
0.430006	3	2	3	1530
0.430008	3	3	3	1530
0.430009	3	4	3	1530
0.43001	3	5	3	1530
0.430011	3	6	3	1530
0.430013	3	7	3	1530
0.430014	3	8	3	1530
0.430015	3	9	3	1530
0.430016	3	10	3	1530
0.430018	1	3	3	1530
0.430019	3	11	3	1530
0.43002	1	4	3	1530
0.430021	1	5	3	1530
0.430023	1	6	3	1530
0.430024	3	12	3	1530
0.430025	1	7	3	1530
