time(s)	cellId	rnti	lcid	packetSize
0.411329	3	20	3	1530
0.41133	3	21	3	1530
0.411332	3	22	3	1530
0.411403	1	1	3	1530
0.411404	1	2	3	1530
0.411405	3	1	3	1530
0.411406	3	2	3	1530
0.411408	3	3	3	1530
0.411409	3	4	3	1530
0.41141	3	5	3	1530
0.411411	3	6	3	1530
0.411413	3	7	3	1530
0.411414	3	8	3	1530
0.411415	3	9	3	1530
0.411416	3	10	3	1530
0.411418	1	3	3	1530
0.411419	3	11	3	1530
0.41142	1	4	3	1530
0.411421	1	5	3	1530
0.411423	1	6	3	1530
0.411424	3	12	3	1530
0.411425	1	7	3	1530
0.411426	3	18	3	1530
0.411428	3	19	3	1530
0.411429	3	20	3	1530
0.41143	3	21	3	1530
0.411432	3	22	3	1530
0.411503	1	1	3	1530
0.411504	1	2	3	1530
0.411505	3	1	3	1530
0.411506	3	2	3	1530
0.411508	3	3	3	1530
0.411509	3	4	3	1530
0.41151	3	5	3	1530
0.411511	3	6	3	1530
0.411513	3	7	3	1530
0.411514	3	8	3	1530
0.411515	3	9	3	1530
0.411516	3	10	3	1530
0.411518	1	3	3	1530
0.411519	3	11	3	1530
0.41152	1	4	3	1530
0.411521	1	5	3	1530
0.411523	1	6	3	1530
0.411524	3	12	3	1530
0.411525	1	7	3	1530
0.411526	3	18	3	1530
0.411528	3	19	3	1530
0.411529	3	20	3	1530
0.41153	3	21	3	1530
0.411532	3	22	3	1530
0.411603	1	1	3	1530
0.411604	1	2	3	1530
0.411605	3	1	3	1530
0.411606	3	2	3	1530
0.411608	3	3	3	1530
0.411609	3	4	3	1530
0.41161	3	5	3	1530
0.411611	3	6	3	1530
0.411613	3	7	3	1530
0.411614	3	8	3	1530
0.411615	3	9	3	1530
0.411616	3	10	3	1530
0.411618	1	3	3	1530
0.411619	3	11	3	1530
0.41162	1	4	3	1530
0.411621	1	5	3	1530
0.411623	1	6	3	1530
0.411624	3	12	3	1530
0.411625	1	7	3	1530
0.411626	3	18	3	1530
0.411628	3	19	3	1530
0.411629	3	20	3	1530
0.41163	3	21	3	1530
0.411632	3	22	3	1530
0.411703	1	1	3	1530
0.411704	1	2	3	1530
0.411705	3	1	3	1530
0.411706	3	2	3	1530
0.411708	3	3	3	1530
0.411709	3	4	3	1530
0.41171	3	5	3	1530
0.411711	3	6	3	1530
0.411713	3	7	3	1530
0.411714	3	8	3	1530
0.411715	3	9	3	1530
0.411716	3	10	3	1530
0.411718	1	3	3	1530
0.411719	3	11	3	1530
0.41172	1	4	3	1530
0.411721	1	5	3	1530
0.411723	1	6	3	1530
0.411724	3	12	3	1530
0.411725	1	7	3	1530
0.411726	3	18	3	1530
0.411728	3	19	3	1530
0.411729	3	20	3	1530
0.41173	3	21	3	1530
0.411732	3	22	3	1530
0.411803	1	1	3	1530
0.411804	1	2	3	1530
0.411805	3	1	3	1530
0.411806	3	2	3	1530
0.411808	3	3	3	1530
0.411809	3	4	3	1530
0.41181	3	5	3	1530
0.411811	3	6	3	1530
0.411813	3	7	3	1530
0.411814	3	8	3	1530
0.411815	3	9	3	1530
0.411816	3	10	3	1530
0.411818	1	3	3	1530
0.411819	3	11	3	1530
0.41182	1	4	3	1530
0.411821	1	5	3	1530
0.411823	1	6	3	1530
0.411824	3	12	3	1530
0.411825	1	7	3	1530
0.411826	3	18	3	1530
0.411828	3	19	3	1530
0.411829	3	20	3	1530
0.41183	3	21	3	1530
0.411832	3	22	3	1530
0.411903	1	1	3	1530
0.411904	1	2	3	1530
0.411905	3	1	3	1530
0.411906	3	2	3	1530
0.411908	3	3	3	1530
0.411909	3	4	3	1530
0.41191	3	5	3	1530
0.411911	3	6	3	1530
0.411913	3	7	3	1530
0.411914	3	8	3	1530
0.411915	3	9	3	1530
0.411916	3	10	3	1530
