Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.558071	DL DCI Rxed	55	8	0	1	26	0	15	2
0.560929	HARQ FD Txed	56	0	0	1	26	0	15	2
0.564071	DL DCI Rxed	56	4	0	1	26	0	15	2
0.566929	HARQ FD Txed	56	6	0	1	26	0	15	2
0.570071	DL DCI Rxed	57	0	0	1	26	0	15	2
0.572929	HARQ FD Txed	57	2	0	1	26	0	15	2
0.578071	DL DCI Rxed	57	8	0	1	26	0	15	2
0.580929	HARQ FD Txed	58	0	0	1	26	0	15	2
0.584071	DL DCI Rxed	58	4	0	1	26	0	15	2
0.586929	HARQ FD Txed	58	6	0	1	26	0	15	2
0.590071	DL DCI Rxed	59	0	0	1	26	0	15	2
0.592929	HARQ FD Txed	59	2	0	1	26	0	15	2
0.596071	DL DCI Rxed	59	6	0	1	26	0	15	2
0.598929	HARQ FD Txed	59	8	0	1	26	0	15	2
0.601071	DL DCI Rxed	60	1	0	1	26	0	15	2
0.603929	HARQ FD Txed	60	3	0	1	26	0	15	2
0.610071	DL DCI Rxed	61	0	0	1	26	0	15	2
0.612929	HARQ FD Txed	61	2	0	1	26	0	15	2
0.615071	DL DCI Rxed	61	5	0	1	26	0	15	2
0.616071	DL DCI Rxed	61	6	0	1	26	0	14	2
0.617929	HARQ FD Txed	61	7	0	1	26	0	15	2
0.618929	HARQ FD Txed	61	8	0	1	26	0	14	2
0.620071	DL DCI Rxed	62	0	0	1	26	0	15	2
0.621071	DL DCI Rxed	62	1	0	1	26	0	14	2
0.622071	DL DCI Rxed	62	2	0	1	26	0	13	2
0.622929	HARQ FD Txed	62	2	0	1	26	0	15	2
0.623071	DL DCI Rxed	62	3	0	1	26	0	12	2
0.623929	HARQ FD Txed	62	3	0	1	26	0	14	2
0.624929	HARQ FD Txed	62	4	0	1	26	0	13	2
0.625071	DL DCI Rxed	62	5	0	1	26	0	15	2
0.625929	HARQ FD Txed	62	5	0	1	26	0	12	2
0.626071	DL DCI Rxed	62	6	0	1	26	0	14	2
0.627071	DL DCI Rxed	62	7	0	1	26	0	11	2
0.627929	HARQ FD Txed	62	7	0	1	26	0	15	2
0.628071	DL DCI Rxed	62	8	0	1	26	0	13	2
0.628929	HARQ FD Txed	62	8	0	1	26	0	14	2
0.629071	DL DCI Rxed	62	9	0	1	26	0	12	2
0.629929	HARQ FD Txed	62	9	0	1	26	0	11	2
0.630071	DL DCI Rxed	63	0	0	1	26	0	15	2
0.630929	HARQ FD Txed	63	0	0	1	26	0	13	2
0.631071	DL DCI Rxed	63	1	0	1	26	0	14	2
0.631929	HARQ FD Txed	63	1	0	1	26	0	12	2
0.632071	DL DCI Rxed	63	2	0	1	26	0	11	2
0.632929	HARQ FD Txed	63	2	0	1	26	0	15	2
0.633071	DL DCI Rxed	63	3	0	1	26	0	13	2
0.633929	HARQ FD Txed	63	3	0	1	26	0	14	2
0.634071	DL DCI Rxed	63	4	0	1	26	0	12	2
