time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.942029	1	1	3	1532	0.00302856
0.943029	1	2	3	4595	0.00802856
0.943029	3	8	3	1532	0.00802856
0.943243	3	23	3	4027	0.00224286
0.943314	3	22	3	4027	0.00231428
0.943386	3	21	3	4027	0.00238571
0.943457	3	20	3	4027	0.00245714
0.943529	3	19	3	4027	0.00252857
0.9436	3	18	3	4027	0.0026
0.943743	3	10	3	4027	0.00274285
0.943814	3	9	3	4027	0.00281428
0.943886	3	8	3	3282	0.00288571
0.943957	3	7	3	4027	0.00295714
0.944029	1	2	3	1532	0.0130286
0.944029	3	6	3	4027	0.00302856
0.944243	3	23	3	2672	0.00224286
0.944314	3	22	3	2672	0.00231428
0.944386	3	21	3	2672	0.00238571
0.944457	3	20	3	2672	0.00245714
0.944529	3	19	3	2672	0.00252857
0.9446	3	18	3	3853	0.0026
0.944743	3	10	3	2672	0.00274285
0.944814	3	9	3	2672	0.00281428
0.944886	3	8	3	3282	0.00288571
0.944957	1	2	3	1532	0.0129571
0.944957	3	7	3	2672	0.00295714
0.945029	3	6	3	2672	0.00302856
0.945243	1	7	3	4027	0.00224286
0.945314	1	6	3	4027	0.00231428
0.945457	1	5	3	6127	0.00245714
0.9456	1	4	3	6127	0.0026
0.945743	1	3	3	6127	0.00274285
0.945886	1	2	3	873	0.00288571
0.946029	3	8	3	4027	0.00802856
0.946029	1	1	3	6127	0.00302856
0.946243	3	23	3	3064	0.00224286
0.946314	3	22	3	3064	0.00231428
0.946386	3	21	3	3064	0.00238571
0.946457	3	20	3	3064	0.00245714
0.946529	3	19	3	3064	0.00252857
0.9466	3	18	3	3064	0.0026
0.946671	3	11	3	3064	0.00267142
0.946743	3	10	3	3064	0.00274285
0.946814	3	9	3	3064	0.00281428
0.946886	3	8	3	3199	0.00288571
0.946957	3	7	3	3064	0.00295714
0.947029	1	4	3	1532	0.00802856
0.947029	1	5	3	1532	0.00802856
0.947029	1	7	3	2672	0.00802856
0.947029	3	6	3	3064	0.00302856
0.947243	3	23	3	1532	0.00224286
0.947314	1	7	3	5165	0.00231428
0.947314	3	22	3	1532	0.00231428
0.947386	3	21	3	1532	0.00238571
0.947457	1	6	3	5165	0.00245714
0.947457	3	20	3	1532	0.00245714
0.947529	1	5	3	3064	0.00252857
0.947529	3	19	3	1532	0.00252857
0.9476	3	18	3	1532	0.0026
0.947671	1	3	3	3064	0.00267142
0.947671	3	11	3	1532	0.00267142
0.947743	3	10	3	1532	0.00274285
0.947814	3	9	3	1532	0.00281428
0.947957	3	7	3	1532	0.00295714
0.948029	1	1	3	3064	0.00302856
0.948029	3	6	3	1532	0.00302856
0.948243	1	7	3	1532	0.00224286
0.948314	1	6	3	1532	0.00231428
0.948386	1	5	3	1532	0.00238571
0.948457	1	4	3	1532	0.00245714
0.948529	1	3	3	1532	0.00252857
0.9486	1	2	3	1532	0.0026
0.948671	1	1	3	1532	0.00267142
0.949029	3	11	3	4027	0.00802856
0.949243	1	7	3	1532	0.00224286
0.949314	1	6	3	1532	0.00231428
0.949386	1	5	3	1532	0.00238571
0.949457	1	4	3	1532	0.00245714
0.949529	1	3	3	1532	0.00252857
0.9496	1	2	3	1532	0.0026
0.949671	1	1	3	1532	0.00267142
0.950029	3	11	3	2672	0.00802856
0.950243	1	7	3	1532	0.00224286
0.950243	3	23	3	4027	0.00224286
0.950314	1	6	3	1532	0.00231428
0.950314	3	22	3	4027	0.00231428
0.950386	1	5	3	1532	0.00238571
0.950386	3	21	3	4027	0.00238571
0.950457	1	4	3	1532	0.00245714
0.950457	3	20	3	4027	0.00245714
0.950529	1	3	3	1532	0.00252857
0.950529	3	19	3	4027	0.00252857
0.950671	1	1	3	1532	0.00267142
0.950671	3	11	3	3722	0.00267142
0.950743	3	10	3	4027	0.00274285
0.950814	3	9	3	4027	0.00281428
0.950886	3	8	3	4027	0.00288571
0.950957	3	7	3	4027	0.00295714
0.951029	3	6	3	4027	0.00302856
0.951243	1	7	3	1532	0.00224286
0.951243	3	23	3	2102	0.00224286
0.951314	1	6	3	1532	0.00231428
0.951314	3	22	3	2102	0.00231428
0.951386	1	5	3	1532	0.00238571
0.951386	3	21	3	2102	0.00238571
0.951457	1	4	3	1532	0.00245714
0.951457	3	20	3	2102	0.00245714
0.951529	1	3	3	1532	0.00252857
0.951529	3	19	3	2102	0.00252857
0.951671	1	1	3	1532	0.00267142
0.951671	3	11	3	2407	0.00267142
0.951743	3	10	3	2102	0.00274285
0.951814	3	9	3	2102	0.00281428
0.951886	3	8	3	2102	0.00288571
0.951957	3	7	3	2102	0.00295714
0.952029	3	6	3	2102	0.00302856
0.953029	1	2	3	9315	0.00802856
0.953029	1	4	3	3064	0.00802856
0.953029	3	8	3	1532	0.00802856
0.953243	1	7	3	3064	0.00224286
